id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h,historical_trends,sentiment_score,macroeconomic_indicator
,USDT,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.9991,10000000.0,44570.084014016335,0.5,1.0
,SOL,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 177.54,10000000.0,47049.71771165435,0.5,1.0
,BNB,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 665.93,10000000.0,31630.036096785054,0.5,1.0
,DOGE,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.3202,10000000.0,37111.110228209014,0.5,1.0
,USDC,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.9998,10000000.0,44014.462292631695,0.5,1.0
,SUI,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 4.42,10000000.0,32048.87127245134,0.5,1.0
,ADA,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.9112,10000000.0,41921.52191017472,0.5,1.0
,STETH,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,"$ 3,113.36",10000000.0,35042.08540415585,0.5,1.0
,TON,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 5.07,10000000.0,36073.54742365268,0.5,1.0
,RYO,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,,10000000.0,16257.836201612621,0.5,1.0
,XLM,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 0.4032,10000000.0,17001.771653195745,0.5,1.0
,HYPE,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,,10000000.0,49321.288928363494,0.5,1.0
,WLD,,,1000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,$ 1.91,10000000.0,12986.84109542107,0.5,1.0
