time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2023-07-06T00:00:00.0000000Z,2023-07-07T00:00:00.0000000Z,2023-07-06T00:00:24.2060000Z,2023-07-06T23:59:46.0470000Z,30498,31500,29868,29912,3249.62167981,24237
2023-07-07T00:00:00.0000000Z,2023-07-08T00:00:00.0000000Z,2023-07-07T00:00:06.1900000Z,2023-07-07T23:59:48.3470000Z,29901,30445,29722,30348,1948.94278966,16516
2023-07-08T00:00:00.0000000Z,2023-07-09T00:00:00.0000000Z,2023-07-08T00:00:00.3030000Z,2023-07-08T23:58:36.5100000Z,30348,30383,30056,30293,612.52137787,7717
2023-07-09T00:00:00.0000000Z,2023-07-10T00:00:00.0000000Z,2023-07-09T00:00:05.3530000Z,2023-07-09T23:59:55.7130000Z,30293,30439,30073,30167,665.0468598799998,6835
2023-07-10T00:00:00.0000000Z,2023-07-11T00:00:00.0000000Z,2023-07-10T00:00:05.5980000Z,2023-07-10T23:59:48.4480000Z,30170,31037,29964,30421,1895.8218152,15065
2023-07-11T00:00:00.0000000Z,2023-07-12T00:00:00.0000000Z,2023-07-11T00:00:07.1600000Z,2023-07-11T23:59:46.4360000Z,30417,30804,30310,30621,1316.99490714,12032
2023-07-12T00:00:00.0000000Z,2023-07-13T00:00:00.0000000Z,2023-07-12T00:00:15.3310000Z,2023-07-12T23:59:53.3940000Z,30631,30960,30219,30382,1812.18961229,14697
2023-07-13T00:00:00.0000000Z,2023-07-14T00:00:00.0000000Z,2023-07-13T00:00:05.7270000Z,2023-07-13T23:59:37.2840000Z,30383,31818,30259,31471,3069.916344800001,20627
2023-07-14T00:00:00.0000000Z,2023-07-15T00:00:00.0000000Z,2023-07-14T00:00:07.9840000Z,2023-07-14T23:59:54.2790000Z,31474,31635,29961,30331,2803.99277834,18892
2023-07-15T00:00:00.0000000Z,2023-07-16T00:00:00.0000000Z,2023-07-15T00:00:18.6810000Z,2023-07-15T23:59:52.1280000Z,30328,30403,30260,30301,486.93756668,7134
2023-07-16T00:00:00.0000000Z,2023-07-17T00:00:00.0000000Z,2023-07-16T00:00:16.4260000Z,2023-07-16T23:59:38.8870000Z,30300,30442,30067,30253,1004.65082827,9407
2023-07-17T00:00:00.0000000Z,2023-07-18T00:00:00.0000000Z,2023-07-17T00:00:05.6050000Z,2023-07-17T23:57:56.1810000Z,30247,30341,29675,30154,1824.2773449500005,13363
2023-07-18T00:00:00.0000000Z,2023-07-19T00:00:00.0000000Z,2023-07-18T00:00:47.2430000Z,2023-07-18T23:59:20.9210000Z,30144,30244,29521,29868,1731.1351502699997,13901
2023-07-19T00:00:00.0000000Z,2023-07-20T00:00:00.0000000Z,2023-07-19T00:00:23.7230000Z,2023-07-19T23:59:57.5290000Z,29862,30188,29757,29919,1520.9318574899996,11584
2023-07-20T00:00:00.0000000Z,2023-07-21T00:00:00.0000000Z,2023-07-20T00:00:28.3980000Z,2023-07-20T23:59:39.0970000Z,29917,30414,29567,29806,1437.7448532099995,12632
2023-07-21T00:00:00.0000000Z,2023-07-22T00:00:00.0000000Z,2023-07-21T00:00:09.2030000Z,2023-07-21T23:59:38.5630000Z,29806,30051,29735,29908,1173.83666684,11367
2023-07-22T00:00:00.0000000Z,2023-07-23T00:00:00.0000000Z,2023-07-22T00:00:00.6290000Z,2023-07-22T23:59:58.1840000Z,29908,29995,29640,29789,658.55197353,7641
2023-07-23T00:00:00.0000000Z,2023-07-24T00:00:00.0000000Z,2023-07-23T00:00:09.7860000Z,2023-07-23T23:59:41.8020000Z,29790,30342,29742,30085,814.0380625299999,7221
2023-07-24T00:00:00.0000000Z,2023-07-25T00:00:00.0000000Z,2023-07-24T00:00:32.8030000Z,2023-07-24T23:59:40.7560000Z,30085,30099,28842,29177,2908.87584212,17535
2023-07-25T00:00:00.0000000Z,2023-07-26T00:00:00.0000000Z,2023-07-25T00:00:16.0490000Z,2023-07-25T23:59:51.1360000Z,29176,29362,29054,29224,1221.56254663,11018
2023-07-26T00:00:00.0000000Z,2023-07-27T00:00:00.0000000Z,2023-07-26T00:00:06.2800000Z,2023-07-26T23:59:48.2520000Z,29224,29678,29100,29354,1489.8928571500005,13554
